,Name,Price,Organic?,Origin,date,item,price
0,"Aloe-organic  $1.94 each  Organic, Mexico",$1.94 each,Organic,Mexico,2022-11-28,Aloe-organic  ,1.94
1,"Apple- Calville blanc d'hiver heirloom ipm  $3.34 per pound  Integrated Pest Management, Scott Farm Orchard Dummerston VT",$3.34 per pound,Integrated Pest Management,Scott Farm Orchard Dummerston VT,2022-11-28,Apple- Calville blanc d'hiver heirloom ipm  ,3.34
2,"Apple- d'arcy spicy heirloom ipm  $3.34 per pound  Integrated Pest Management, Scott Farm Orchard Dummerston VT",$3.34 per pound,Integrated Pest Management,Scott Farm Orchard Dummerston VT,2022-11-28,Apple- d'arcy spicy heirloom ipm  ,3.34
3,"Apple-arkansas black ipm  $1.50 per pound  Integrated Pest Management, Kauffman's Fruit Farm Bird-in-Hand PA",$1.50 per pound,Integrated Pest Management,Kauffman's Fruit Farm Bird-in-Hand PA,2022-11-28,Apple-arkansas black ipm  ,1.50
4,"Apple-crimson crisp IPM  $1.50 per pound  Integrated Pest Management, Waxed, Kauffman's Fruit Farm Bird-in-Hand PA",$1.50 per pound,"Integrated Pest Management, Waxed",Kauffman's Fruit Farm Bird-in-Hand PA,2022-11-28,Apple-crimson crisp IPM  ,1.50
5,"Apple-empire ipm  $1.50 per pound  Integrated Pest Management, Wilklow Orchards Highland NY",$1.50 per pound,Integrated Pest Management,Wilklow Orchards Highland NY,2022-11-28,Apple-empire ipm  ,1.50
6,"Apple-fuji label organic  $2.19 per pound  Organic, Washington",$2.19 per pound,Organic,Washington,2022-11-28,Apple-fuji label organic  ,2.19
7,"Apple-granny smith organic  $2.19 per pound  Organic, Waxed, Washington",$2.19 per pound,"Organic, Waxed",Washington,2022-11-28,Apple-granny smith organic  ,2.19
8,"Apple-honeycrisp ipm star label or 3283  $2.57 per pound  Integrated Pest Management, Waxed, Hepworth Farms, NY",$2.57 per pound,"Integrated Pest Management, Waxed","Hepworth Farms, NY",2022-11-28,Apple-honeycrisp ipm star label or 3283  ,2.57
9,"Apple-jonaprince ipm  $1.50 per pound  Integrated Pest Management, Wilklow Orchards Highland NY",$1.50 per pound,Integrated Pest Management,Wilklow Orchards Highland NY,2022-11-28,Apple-jonaprince ipm  ,1.50
10,"Apple-little jewel ipm  $1.50 per pound  Integrated Pest Management, Waxed, Hepworth Farms, NY",$1.50 per pound,"Integrated Pest Management, Waxed","Hepworth Farms, NY",2022-11-28,Apple-little jewel ipm  ,1.50
