,Name,Price,Organic?,Origin,date,item,price
0,"Aloe-organic  $1.94 each  Organic, Mexico",$1.94 each,Organic,Mexico,2022-12-03,Aloe-organic  ,1.94
1,"Apple- Calville blanc d'hiver heirloom ipm  $3.34 per pound  Integrated Pest Management, Scott Farm Orchard Dummerston VT",$3.34 per pound,Integrated Pest Management,Scott Farm Orchard Dummerston VT,2022-12-03,Apple- Calville blanc d'hiver heirloom ipm  ,3.34
2,"Apple-arkansas black ipm  $1.50 per pound  Integrated Pest Management, Kauffman's Fruit Farm Bird-in-Hand PA",$1.50 per pound,Integrated Pest Management,Kauffman's Fruit Farm Bird-in-Hand PA,2022-12-03,Apple-arkansas black ipm  ,1.50
3,"Apple-crimson crisp IPM  $1.50 per pound  Integrated Pest Management, Waxed, Kauffman's Fruit Farm Bird-in-Hand PA",$1.50 per pound,"Integrated Pest Management, Waxed",Kauffman's Fruit Farm Bird-in-Hand PA,2022-12-03,Apple-crimson crisp IPM  ,1.50
4,"Apple-empire ipm  $1.50 per pound  Integrated Pest Management, Wilklow Orchards Highland NY",$1.50 per pound,Integrated Pest Management,Wilklow Orchards Highland NY,2022-12-03,Apple-empire ipm  ,1.50
5,"Apple-fuji label organic  $2.19 per pound  Organic, Washington",$2.19 per pound,Organic,Washington,2022-12-03,Apple-fuji label organic  ,2.19
6,"Apple-granny smith organic  $2.31 per pound  Organic, Waxed, Washington",$2.31 per pound,"Organic, Waxed",Washington,2022-12-03,Apple-granny smith organic  ,2.31
7,"Apple-honeycrisp ipm star label or 3283  $2.57 per pound  Integrated Pest Management, Waxed, Hepworth Farms, NY",$2.57 per pound,"Integrated Pest Management, Waxed","Hepworth Farms, NY",2022-12-03,Apple-honeycrisp ipm star label or 3283  ,2.57
8,"Apple-jonaprince ipm  $1.50 per pound  Integrated Pest Management, Wilklow Orchards Highland NY",$1.50 per pound,Integrated Pest Management,Wilklow Orchards Highland NY,2022-12-03,Apple-jonaprince ipm  ,1.50
9,"Apple-little jewel ipm  $1.50 per pound  Integrated Pest Management, Waxed, Hepworth Farms, NY",$1.50 per pound,"Integrated Pest Management, Waxed","Hepworth Farms, NY",2022-12-03,Apple-little jewel ipm  ,1.50
